user,item
u_0,i_37
u_0,i_38
u_0,i_39
u_0,i_40
u_0,i_42
u_0,i_43
u_0,i_44
u_0,i_45
u_0,i_47
u_0,i_49
u_0,i_50
u_0,i_52
u_0,i_53
u_0,i_54
u_0,i_55
u_0,i_56
u_0,i_57
u_0,i_59
u_0,i_60
u_0,i_61
u_0,i_63
u_0,i_64
u_0,i_65
u_0,i_66
u_0,i_67
u_0,i_68
u_1,i_72
u_1,i_73
u_1,i_76
u_1,i_77
u_2,i_38
u_2,i_49
u_2,i_79
u_2,i_80
u_2,i_81
u_2,i_82
u_2,i_86
u_2,i_87
u_2,i_88
u_2,i_89
u_2,i_91
u_2,i_92
u_2,i_93
u_2,i_94
u_2,i_95
u_2,i_96
u_2,i_97
u_2,i_98
u_2,i_99
u_2,i_100
u_2,i_101
u_2,i_102
u_2,i_103
u_2,i_104
u_2,i_106
u_3,i_108
u_3,i_109
u_3,i_110
u_3,i_111
u_3,i_112
u_3,i_113
u_3,i_114
u_3,i_118
u_3,i_120
u_3,i_121
u_3,i_122
u_3,i_123
u_3,i_124
u_3,i_125
u_3,i_126
u_3,i_127
u_3,i_128
u_3,i_130
u_3,i_131
u_3,i_132
u_4,i_54
u_4,i_133
u_4,i_137
u_4,i_139
u_4,i_141
u_4,i_144
u_4,i_146
u_4,i_147
u_4,i_149
u_4,i_151
u_4,i_153
u_4,i_154
u_4,i_156
u_4,i_157
u_4,i_161
u_4,i_164
u_4,i_165
u_4,i_166
u_5,i_167
u_5,i_168
u_5,i_169
u_5,i_170
u_5,i_171
u_5,i_172
u_5,i_175
u_5,i_176
u_5,i_178
u_5,i_179
u_5,i_180
u_5,i_181
u_5,i_182
u_5,i_184
u_5,i_186
u_5,i_187
u_5,i_188
u_6,i_50
u_6,i_65
u_6,i_142
u_6,i_168
u_6,i_176
u_6,i_189
u_6,i_190
u_6,i_191
u_6,i_192
u_6,i_193
u_6,i_194
u_6,i_195
u_6,i_196
u_6,i_197
u_6,i_199
u_6,i_200
u_6,i_202
u_6,i_203
u_6,i_204
u_7,i_4
u_7,i_205
u_7,i_207
u_7,i_209
u_7,i_210
u_7,i_212
u_7,i_213
u_7,i_214
u_7,i_215
u_7,i_216
u_7,i_218
u_7,i_219
u_7,i_220
u_7,i_221
u_7,i_222
u_7,i_223
u_7,i_224
u_7,i_225
u_7,i_226
u_7,i_227
u_7,i_228
u_7,i_229
u_7,i_230
u_7,i_231
u_7,i_233
u_7,i_235
u_7,i_236
u_7,i_237
u_7,i_238
u_8,i_109
u_8,i_111
u_8,i_124
u_8,i_239
u_8,i_240
u_8,i_241
u_8,i_242
u_8,i_243
u_8,i_244
u_8,i_245
u_8,i_246
u_8,i_247
u_8,i_248
u_8,i_250
u_8,i_251
u_8,i_252
u_8,i_253
u_8,i_254
u_8,i_256
u_8,i_257
u_8,i_258
u_8,i_259
u_8,i_260
u_8,i_263
